ID,Owner,Name,Position,Start,End,Salary
830,Daniel,A.J. Green,WR,2017,2019,$190
1547,,A.J. Klein,LB,FA,2018,
2227,,Aaron Donald,DL,FA,2018,
-1,Schex,Aaron Jones,RB,2017,2019,$2
96,Syed/Terence,Aaron Rodgers,QB,2016,2018,$270
-1,,Adam Humphries,WR,FA,2018,
657,,Adam Jones,DB,FA,2018,
-1,Syed/Terence,Adam Shaheen,TE,2017,2019,$1
1689,Koci/Mueller,Adam Thielen,WR,2017,2019,$7
120,,Adam Vinatieri,K,FA,2018,
-1,Syed/Terence,Adoree' Jackson,DB,2017,2019,$1
961,Syed/Terence,Adrian Clayborn,DL,2018,2018,$1
184,Trevor,Adrian Peterson,RB,2018,2018,$34
1895,John/Zach,AJ McCarron,QB,2016,2018,$1
1186,,Akiem Hicks,DL,FA,2018,
1572,Koci/Mueller,Alec Ogletree,LB,2018,2020,$22
-1,,Alex Anzalone,LB,FA,2018,
-1,James/Charles,Alex Collins,RB,2018,2019,$85
1578,,Alex Okafor,DL,FA,2018,
268,James/Charles,Alex Smith,QB,2018,2019,$69
-1,,Alfred Blue,RB,FA,2018,
1170,,Alfred Morris,RB,FA,2018,
-1,Quinn,Allen Hurns,WR,2018,2019,$15
-1,John/Zach,Allen Lazard,WR,2018,2020,$1
1992,James/Charles,Allen Robinson,WR,2017,2019,$75
1149,Koci/Mueller,Alshon Jeffery,WR,2017,2019,$90
-1,Keyon,Alvin Kamara,RB,2017,2019,$12
-1,,Amara Darboh,WR,FA,2018,
-1,Mitch,Amari Cooper,WR,2018,2019,$100
-1,,Ameer Abdullah,RB,FA,2018,
-1,,Andre Ellington,RB,FA,2018,
92,,Andre Johnson,WR,FA,2018,
627,,Andre Roberts,WR,FA,2018,
2088,,Andre Williams,RB,FA,2018,
831,,Andrew Hawkins,WR,FA,2018,
1111,Mitch,Andrew Luck,QB,2018,2018,$185
770,,Andrew Sendejo,DB,FA,2018,
829,Mitch,Andy Dalton,QB,2018,2018,$65
-1,,Andy Janovich,RB,FA,2018,
655,,Anquan Boldin,WR,FA,2018,
2151,,Anthony Barr,LB,FA,2018,
2062,Patrick,Anthony Hitchens,LB,2018,2018,$1
-1,Keyon,Anthony Miller,WR,2018,2020,$9
-1,,Anthony Zettel,DL,FA,2018,
88,,Antoine Bethea,DB,FA,2018,
609,,Antone Smith,RB,FA,2018,
536,Patrick,Antonio Brown,WR,2018,2018,$375
-1,Brett/Luke,Antonio Callaway,WR,2018,2019,$3
322,Patrick,Antonio Gates,TE,2018,2018,$2
-1,,ArDarius Stewart,WR,FA,2018,
-1,John/Zach,Arden Key,DL,2018,2020,$1
669,,Arian Foster,RB,FA,2018,
-1,Patrick,Auden Tate,WR,2018,2020,$2
-1,Koci/Mueller,Austin Ekeler,RB,2018,2020,$12
-1,Trevor,Austin Hooper,TE,2016,2018,$4
2222,Patrick,Austin Seferian-Jenkins,TE,2017,2019,$7
-1,,Avery Williamson,LB,FA,2018,
-1,,B.J. Goodson,LB,FA,2018,
-1,Quinn,Baker Mayfield,QB,2018,2020,$28
575,James/Charles,Barry Church,DB,2016,2018,$5
-1,,Bashaud Breeland,DB,FA,2018,
138,Trevor,Ben Roethlisberger,QB,2018,2018,$103
-1,Quinn,Benardrick McKinney,LB,2018,2018,$2
1564,,Benny Cunningham,RB,FA,2018,
663,Schex,Benjamin Watson,TE,2018,2018,$1
-1,,Bennie Fowler III,WR,FA,2018,
818,Trevor,Bilal Powell,RB,2018,2018,$11
1937,,Bishop Sankey,RB,FA,2018,
862,Koci/Mueller,Blaine Gabbert,QB,2018,2020,$6
1214,,Blair Walsh,K,FA,2018,
1979,Quinn,Blake Bortles,QB,2017,2019,$17
-1,Keyon,Blake Martinez,LB,2018,2020,$9
-1,Syed/Terence,Bo Scarbrough,RB,2018,2018,$2
1059,,Bobby Rainey,RB,FA,2018,
1233,Daniel,Bobby Wagner,LB,2018,2018,$27
-1,Quinn,Boston Scott,RB,2018,2018,$1
-1,James/Charles,Bradley Chubb,LB,2018,2020,$1
1617,,Bradley McDougald,DB,FA,2018,
-1,,Branden Oliver,RB,FA,2018,
2197,Mitch,Brandin Cooks,WR,2018,2018,$85
1034,,Brandon Bolden,RB,FA,2018,
-1,,Brandon Coleman,WR,FA,2018,
583,,Brandon Graham,DL,FA,2018,
613,,Brandon LaFell,WR,FA,2018,
1118,Trevor,Brandon Marshall,LB,2018,2020,$4
648,,Brandon Marshall,WR,FA,2018,
1433,Trevor,Brandon McManus,K,2016,2018,$2
5695,Koci/Mueller,Brandon Powell,WR,2018,2020,$2
346,,Brandon Tate,WR,FA,2018,
-1,Brett/Luke,Braxton Berrios,WR,2018,2018,$1
-1,Brett/Luke,Braxton Miller,WR,2016,2018,$5
-1,,Breshad Perriman,WR,FA,2018,
-1,,Brett Hundley,QB,FA,2018,
-1,Quinn,Brian Hill,RB,2017,2019,$2
345,,Brian Hoyer,QB,FA,2018,
414,,Brian Orakpo,LB,FA,2018,
1208,,Brian Quick,WR,FA,2018,
1471,Syed/Terence,Brice Butler,WR,2018,2018,$1
1126,,Brock Osweiler,QB,FA,2018,
2255,,Bruce Ellington,WR,FA,2018,
-1,,Bryce Petty,QB,FA,2018,
-1,Brett/Luke,Budda Baker,DB,2018,2019,$9
-1,,Byron Jones,DB,FA,2018,
-1,,Byron Marshall,RB,FA,2018,
1451,Daniel,C.J. Anderson,RB,2017,2019,$45
-1,Patrick,C.J. Beathard,QB,2017,2019,$2
1951,Trevor,C.J. Fiedorowicz,TE,2017,2019,$4
1875,James/Charles,C.J. Mosley,LB,2017,2019,$5
-1,Trevor,C.J. Prosise,RB,2016,2018,$13
507,,C.J. Spiller,RB,FA,2018,
-1,,C.J. Uzomah,TE,FA,2018,
2020,,Cairo Santos,K,FA,2018,
125,Trevor,Calais Campbell,DL,2017,2018,$7
1358,,Caleb Sturgis,K,FA,2018,
240,,Calvin Johnson,WR,FA,2018,
-1,Mitch,Calvin Ridley,WR,2018,2020,$18
954,Brett/Luke,Cam Newton,QB,2017,2019,$175
-1,,Cameron Artis-Payne,RB,FA,2018,
-1,Quinn,Cameron Brate,TE,2018,2018,$5
843,,Cameron Heyward,DL,FA,2018,
957,Schex,Cameron Jordan,DL,2018,2018,$15
-1,Keyon,Cameron Meredith,WR,2017,2019,$12
342,,Cameron Wake,DL,FA,2018,
-1,,Cardale Jones,QB,FA,2018,
529,Daniel,Carlos Dunlap,DL,2018,2018,$1
-1,,Carlos Henderson,WR,FA,2018,
2257,James/Charles,Carlos Hyde,RB,2017,2019,$75
91,,Carson Palmer,QB,FA,2018,
-1,Daniel,Carson Wentz,QB,2016,2018,$8
1737,James/Charles,Case Keenum,QB,2018,2018,$48
1175,,Casey Hayward,DB,FA,2018,
-1,,Chad Hansen,WR,FA,2018,
89,Brett/Luke,Chad Henne,QB,2018,2018,$1
-1,Trevor,Chad Kelly,QB,2018,2020,$8
-1,,Chad Williams,WR,FA,2018,
2242,John/Zach,Chandler Catanzaro,K,2016,2018,$3
1038,Daniel,Chandler Jones,DL,2018,2018,$12
-1,,Charcandrick West,RB,FA,2018,
801,Daniel,Charles Clay,TE,2017,2019,$1
1530,,Charles Johnson,WR,FA,2018,
2223,,Charles Sims,RB,FA,2018,
-1,,Charone Peake,WR,FA,2018,
490,,Chase Daniel,QB,FA,2018,
-1,Syed/Terence,Chase Edmonds,RB,2018,2020,$7
-1,,Chester Rogers,WR,FA,2018,
1945,James/Charles,Chris Boswell,K,2018,2018,$1
-1,Koci/Mueller,Chris Carson,RB,2017,2019,$3
-1,,Chris Conley,WR,FA,2018,
-1,Brett/Luke,Chris Godwin,WR,2017,2018,$5
1329,Daniel,Chris Hogan,WR,2017,2019,$8
717,Trevor,Chris Ivory,RB,2017,2019,$2
272,,Chris Johnson,RB,FA,2018,
-1,,Chris Moore,WR,FA,2018,
1502,Koci/Mueller,Chris Thompson,RB,2016,2018,$5
-1,Koci/Mueller,Chris Warren,RB,2018,2020,$7
-1,,Christian Hackenberg,QB,FA,2018,
-1,,Christian Jones,LB,FA,2018,
-1,James/Charles,Christian Kirk,WR,2018,2020,$9
1905,Quinn,Christian Kirksey,LB,2018,2020,$5
-1,Daniel,Christian McCaffrey,RB,2017,2019,$24
1596,,Christine Michael,RB,FA,2018,
170,,Cliff Avril,DL,FA,2018,
2373,,Clive Walford,TE,FA,2018,
1107,,Coby Fleener,TE,FA,2018,
-1,,Cody Kessler,QB,FA,2018,
2004,,Cody Latimer,WR,FA,2018,
1144,Quinn,Cole Beasley,WR,2016,2018,$1
980,,Colin Kaepernick,QB,FA,2018,
533,,Colt McCoy,QB,FA,2018,
499,,Connor Barth,K,FA,2018,
371,,Connor Barwin,DL,FA,2018,
-1,,Connor Cook,QB,FA,2018,
-1,Trevor,Cooper Kupp,WR,2017,2019,$5
1535,Brett/Luke,Cordarrelle Patterson,WR,2018,2018,$21
-1,Mitch,Corey Clement,RB,2018,2019,$30
-1,Schex,Corey Coleman,WR,2016,2018,$17
-1,Mitch,Corey Davis,WR,2017,2019,$18
273,,Corey Graham,DB,FA,2018,
-1,Patrick,Corey Grant,RB,2018,2020,$1
-1,,Cory James,LB,FA,2018,
-1,Schex,Cory Littleton,LB,2018,2020,$1
-1,John/Zach,Courtland Sutton,WR,2018,2020,$9
1272,,Craig Robertson,LB,FA,2018,
1868,,Crockett Gillmore,TE,FA,2018,
-1,Syed/Terence,Curtis Samuel,WR,2017,2019,$5
-1,Patrick,D.J. Chark,WR,2018,2020,$5
-1,,D.J. Foster,RB,FA,2018,
-1,John/Zach,DJ Moore,WR,2018,2020,$9
-1,Trevor,D'Onta Foreman,RB,2017,2019,$24
93,,D'Qwell Jackson,LB,FA,2018,
-1,Brett/Luke,DaeSean Hamilton,WR,2018,2019,$2
-1,Syed/Terence,Dak Prescott,QB,2016,2018,$16
-1,John/Zach,Dallas Goedert,TE,2018,2020,$4
-1,John/Zach,Dalton Schultz,TE,2018,2020,$1
-1,Patrick,Dalvin Cook,RB,2017,2019,$24
-1,,Damarious Randall,DB,FA,2018,
-1,,Damien Williams,RB,FA,2018,
1053,,Damon Harrison,DL,FA,2018,
899,,Dan Bailey,K,FA,2018,
45,,Dan Carpenter,K,FA,2018,
